Id	Longitude	Latitude	GeoName	StateAbb	State	County	TotalPop	MedAge	Education	Unemployment	Income	MedHomeValue	Obama	Zipcodes	Winner	RealZip	ElectoralFraction	ZipNumbers
0	-86.396153	32.461513000000004	Prattville city	AL	Alabama	Autauga County	28676	36.2	25.4	8.6	24527	129015	0.2654	36066	Romney	36066	0.08858902	36066.0
1	-86.70866600000001	32.660992	Billingsley town	AL	Alabama	Autauga County	132	36.9	9.3	9.4	17993	59000	0.2654	36006	Romney	36006	0.00040778900000000004	36006.0
2	-86.658236	32.432024	Autaugaville town	AL	Alabama	Autauga County	939	37.3	9.2	10.3	15078	61364	0.2654	36003	Romney	36003	0.002900861	36003.0
3	-87.88420699999999	30.532878999999998	Fairhope city	AL	Alabama	Baldwin County	16442	44.0	36.8	9.7	26966	200000	0.2155	36532	Romney	36532	0.050794415999999995	36532.0
4	-87.591481	30.290025	Orange Beach city	AL	Alabama	Baldwin County	6326	49.5	25.0	9.6	29576	290024	0.2155	36561	Romney	36561	0.019542968	36561.0
5	-87.596406	30.414659000000004	Elberta town	AL	Alabama	Baldwin County	616	39.3	15.7	9.8	19302	144531	0.2155	36530	Romney	36530	0.001903014	36530.0
6	-87.6981	30.270162	Gulf Shores city	AL	Alabama	Baldwin County	7052	49.6	30.4	9.1	26040	222305	0.2155	36542	Romney	36542	0.021785806	36542.0
7	-87.756638	30.626438	Loxley town	AL	Alabama	Baldwin County	1944	37.8	11.7	14.6	16562	113766	0.2155	36551	Romney	36551	0.006005616	36551.0
8	-87.681057	30.399475	Foley city	AL	Alabama	Baldwin County	10052	41.3	19.3	9.5	21844	141691	0.2155	36535	Romney	36535	0.031053732	36535.0
9	-87.777106	30.88075	Bay Minette city	AL	Alabama	Baldwin County	8689	35.8	17.6	13.7	17560	99263	0.2155	36507	Romney	36507	0.026843004	36507.0
10	-87.923812	30.675428999999998	Spanish Fort city	AL	Alabama	Baldwin County	6463	44.9	43.0	7.3	33124	234588	0.2155	365HH	Romney	365HH	0.019966203000000002	0.0
11	-87.749853	30.545537	Silverhill town	AL	Alabama	Baldwin County	730	37.7	18.4	10.7	20187	131771	0.2155	36576	Romney	36576	0.002255195	36576.0
12	-87.892042	30.629507	Daphne city	AL	Alabama	Baldwin County	19303	40.6	41.2	9.4	29845	186072	0.2155	36526	Romney	36526	0.059632927999999995	36526.0
13	-87.909695	30.490309000000003	Point Clear CDP	AL	Alabama	Baldwin County	2427	48.5	42.3	8.7	35364	262255	0.2155	36564	Romney	36564	0.007497753	36564.0
14	-87.697643	30.481790999999998	Summerdale town	AL	Alabama	Baldwin County	904	35.3	13.0	11.7	17931	117733	0.2155	36580	Romney	36580	0.002792735	36580.0
15	-87.705828	30.553251	Robertsdale city	AL	Alabama	Baldwin County	5127	35.5	15.9	12.5	18868	120496	0.2155	36576	Romney	36576	0.015838886	36576.0
16	-85.452597	31.881273999999998	Clayton town	AL	Alabama	Barbour County	1483	35.1	11.9	15.5	15528	69265	0.5133	36016	Romney	36016	0.004581445	36016.0
17	-85.558335	31.781048	Louisville town	AL	Alabama	Barbour County	586	39.0	13.5	19.7	14044	68846	0.5133	36048	Romney	36048	0.001810335	36048.0
18	-85.61094399999999	31.708565999999998	Clio town	AL	Alabama	Barbour County	2262	36.5	4.9	14.2	12498	51795	0.5133	36017	Romney	36017	0.006988016999999999	36017.0
19	-85.503537	31.663498999999998	Blue Springs town	AL	Alabama	Barbour County	115	45.0	8.1	12.8	14464	52500	0.5133	36017	Romney	36017	0.000355271	36017.0
20	-85.15055799999999	31.910159999999998	Eufaula city	AL	Alabama	Barbour County	13539	37.5	18.2	14.4	17782	97107	0.5133	36027	Romney	36027	0.041826152000000005	36027.0
21	-87.13314799999999	32.959568	Centreville city	AL	Alabama	Bibb County	2863	38.3	13.3	12.0	17074	93571	0.2615	35042	Romney	35042	0.008844691	35042.0
22	-87.175173	32.942209000000005	Brent city	AL	Alabama	Bibb County	3615	34.7	8.9	14.0	14649	80568	0.2615	35042	Romney	35042	0.011167851000000001	35042.0
23	-87.152775	33.217284	North Bibb town	AL	Alabama	Bibb County	1040	35.7	9.9	10.9	18735	103333	0.2615	35188	Romney	35188	0.003212881	35188.0
24	-87.1249	33.118102	West Blocton town	AL	Alabama	Bibb County	1387	37.0	5.1	11.9	18612	74565	0.2615	35184	Romney	35184	0.004284871	35184.0
25	-86.503737	33.988585	Rosa town	AL	Alabama	Blount County	346	39.3	9.9	9.8	19040	101389	0.1234	35121	Romney	35121	0.0010689010000000001	35121.0
26	-86.389705	34.116265999999996	Snead town	AL	Alabama	Blount County	813	38.0	11.9	11.7	17454	83696	0.1234	35980	Romney	35980	0.002511608	35980.0
27	-86.586764	34.081410999999996	Blountsville town	AL	Alabama	Blount County	1994	38.6	10.3	13.3	16581	98981	0.1234	35031	Romney	35031	0.006160082	35031.0
28	-86.517845	33.906383	Allgood town	AL	Alabama	Blount County	720	35.4	5.8	8.3	18267	99091	0.1234	35121	Romney	35121	0.002224302	35121.0
29	-86.823768	33.878840999999994	Smoke Rise CDP	AL	Alabama	Blount County	1976	40.5	14.5	9.0	22854	152250	0.1234	35180	Romney	35180	0.006104474	35180.0
30	-86.629343	33.901633000000004	Locust Fork town	AL	Alabama	Blount County	1192	38.8	7.7	11.2	18686	102778	0.1234	35097	Romney	35097	0.0036824559999999998	35097.0
31	-86.753028	33.895539	Hayden town	AL	Alabama	Blount County	544	37.0	10.0	14.5	20899	109000	0.1234	35079	Romney	35079	0.001680584	35079.0
32	-86.493539	33.939633	Oneonta city	AL	Alabama	Blount County	6088	41.2	16.9	6.6	19441	110846	0.1234	35121	Romney	35121	0.018807712	35121.0
33	-86.424412	33.887555	Highland Lake town	AL	Alabama	Blount County	466	42.4	16.4	7.0	19436	124609	0.1234	35121	Romney	35121	0.001439618	35121.0
34	-86.430663	34.079558	Susan Moore town	AL	Alabama	Blount County	777	38.5	10.3	11.6	16718	93077	0.1234	35031	Romney	35031	0.002400393	35031.0
35	-86.637259	33.968296	Nectar town	AL	Alabama	Blount County	457	38.7	9.1	9.5	19315	90000	0.1234	35049	Romney	35049	0.001411814	35049.0
36	-86.569588	33.996512	Cleveland town	AL	Alabama	Blount County	1441	38.1	11.3	14.3	18234	113934	0.1234	35049	Romney	35049	0.004451694	35049.0
37	-85.5205	32.076334	Midway town	AL	Alabama	Bullock County	428	39.0	6.3	13.8	12963	56818	0.7631	36053	Romney	36053	0.0013222239999999999	36053.0
38	-85.713972	32.139559000000006	Union Springs city	AL	Alabama	Bullock County	3530	34.1	9.2	20.0	12112	73202	0.7631	36089	Romney	36089	0.01090526	36089.0
39	-86.713164	31.545022999999997	McKenzie town	AL	Alabama	Butler County	589	45.8	5.3	10.5	14767	53800	0.4603	36456	Romney	36456	0.001819603	36456.0
40	-86.637722	31.843453000000004	Greenville city	AL	Alabama	Butler County	6587	39.9	13.4	20.6	16201	80951	0.4603	36037	Romney	36037	0.020349277	36037.0
41	-86.74664200000001	31.639304	Georgiana town	AL	Alabama	Butler County	1646	41.8	8.4	20.6	13385	50000	0.4603	36033	Romney	36033	0.005085002	36033.0
42	-85.853718	33.712092	Saks CDP	AL	Alabama	Calhoun County	10252	41.2	15.1	11.7	20646	96679	0.3345	36206	Romney	36206	0.031671594	36206.0
43	-85.958535	33.607943	Bynum CDP	AL	Alabama	Calhoun County	1894	40.2	13.5	10.5	20653	93807	0.3345	36260	Romney	36260	0.005851151	36260.0
44	-85.86093100000001	33.614814	Hobson City town	AL	Alabama	Calhoun County	838	44.2	13.5	13.8	17859	103226	0.3345	36203	Romney	36203	0.002588841	36203.0
45	-85.811635	33.757068	Weaver city	AL	Alabama	Calhoun County	2660	40.0	14.9	10.2	20524	95821	0.3345	36277	Romney	36277	0.008217561	36277.0
46	-86.027748	33.789211	Ohatchee town	AL	Alabama	Calhoun County	1268	38.9	12.4	12.2	17435	89500	0.3345	36271	Romney	36271	0.003917244	36271.0
47	-85.874112	33.652344	West End-Cobb Town CDP	AL	Alabama	Calhoun County	3614	42.4	4.5	18.0	14804	61681	0.3345	36201	Romney	36201	0.011164762	36201.0
48	-85.81273900000001	33.671673999999996	Anniston city	AL	Alabama	Calhoun County	23189	41.7	21.0	14.9	21169	100956	0.3345	36201	Romney	36201	0.071637982	36201.0
49	-85.838054	33.688464	Blue Mountain town	AL	Alabama	Calhoun County	228	41.6	4.3	13.0	18939	68125	0.3345	36206	Romney	36206	0.0007043619999999999	36206.0
50	-85.617345	33.961919	Piedmont city	AL	Alabama	Calhoun County	4841	41.9	12.4	12.6	17369	79541	0.3345	36272	Romney	36272	0.014955343999999999	36272.0
51	-85.832802	33.602365	Oxford city	AL	Alabama	Calhoun County	15210	40.6	18.6	11.1	21174	114668	0.3345	36203	Romney	36203	0.046988387	36203.0
52	-85.879041	33.767494	Alexandria CDP	AL	Alabama	Calhoun County	3903	37.7	18.4	9.1	20844	120667	0.3345	36250	Romney	36250	0.012057571999999999	36250.0
53	-85.757537	33.808886	Jacksonville city	AL	Alabama	Calhoun County	9289	29.9	31.6	15.3	19326	115039	0.3345	36265	Romney	36265	0.02869659	36265.0
54	-85.40064699999999	32.899756	La Fayette city	AL	Alabama	Chambers County	3138	40.7	12.1	20.0	14258	74500	0.4697	36862	Romney	36862	0.009694251	36862.0
55	-85.20427600000001	32.865402	Lanett city	AL	Alabama	Chambers County	7102	39.1	14.6	23.0	17363	77885	0.4697	36863	Romney	36863	0.021940271	36863.0
56	-85.18118299999999	32.815093	Valley city	AL	Alabama	Chambers County	8807	39.9	10.0	15.4	18445	74071	0.4697	36854	Romney	36854	0.027207542999999997	36854.0
57	-85.23925799999999	32.840307	Huguley CDP	AL	Alabama	Chambers County	2743	38.0	6.3	21.2	18613	70333	0.4697	36863	Romney	36863	0.008473974	36863.0
58	-85.35159300000001	33.017312	Five Points town	AL	Alabama	Chambers County	152	42.1	15.1	12.7	15330	76667	0.4697	36855	Romney	36855	0.000469575	36855.0
59	-85.775272	34.183820000000004	Leesburg town	AL	Alabama	Cherokee County	791	41.6	9.1	8.4	17754	85000	0.2177	35983	Romney	35983	0.0024436429999999997	35983.0
60	-85.777437	34.263498999999996	Sand Rock town	AL	Alabama	Cherokee County	522	40.1	8.0	7.7	17481	82941	0.2177	35983	Romney	35983	0.001612619	35983.0
61	-85.669671	34.154875	Centre city	AL	Alabama	Cherokee County	3358	47.3	18.6	14.8	19693	105020	0.2177	35960	Romney	35960	0.010373899	35960.0
62	-85.558362	34.268136	Gaylesville town	AL	Alabama	Cherokee County	146	40.5	9.8	6.3	16285	85000	0.2177	35959	Romney	35959	0.00045103900000000003	35959.0
63	-85.59206999999999	34.219611	Cedar Bluff town	AL	Alabama	Cherokee County	1515	41.1	12.2	13.8	18205	92222	0.2177	35959	Romney	35959	0.004680303	35959.0
64	-86.718533	32.917215	Thorsby town	AL	Alabama	Chilton County	1925	37.8	11.7	10.0	16919	100291	0.1943	35171	Romney	35171	0.005946919	35171.0
65	-86.878434	32.786582	Maplesville town	AL	Alabama	Chilton County	736	37.6	11.8	11.2	17379	85000	0.1943	36750	Romney	36750	0.002273731	36750.0
66	-86.622964	32.841454	Clanton city	AL	Alabama	Chilton County	8012	39.8	15.1	12.3	18882	108489	0.1943	35045	Romney	35045	0.024751542	35045.0
67	-86.74329200000001	32.965015	Jemison town	AL	Alabama	Chilton County	2508	37.5	10.4	11.8	17250	92766	0.1943	35085	Romney	35085	0.007747987	35085.0
68	-88.336587	31.986977000000003	Needham town	AL	Alabama	Choctaw County	79	40.0	7.3	20.0	15568	48750	0.4747	36915	Romney	36915	0.000244055	36915.0
69	-88.307963	32.179142	Lisman town	AL	Alabama	Choctaw County	503	38.3	14.8	20.7	15134	57778	0.4747	36912	Romney	36912	0.0015539220000000001	36912.0
70	-88.30936899999999	31.910669	Toxey town	AL	Alabama	Choctaw County	129	39.1	8.1	15.4	17077	50000	0.4747	36908	Romney	36908	0.000398521	36908.0
71	-88.32607	31.767778000000003	Silas town	AL	Alabama	Choctaw County	447	38.1	7.6	15.3	13802	54615	0.4747	36919	Romney	36919	0.001380921	36919.0
72	-88.21405899999999	32.095296999999995	Butler city	AL	Alabama	Choctaw County	1959	43.1	17.3	12.0	19696	86163	0.4747	36904	Romney	36904	0.006051956	36904.0
73	-88.054624	32.198831	Pennington town	AL	Alabama	Choctaw County	282	40.1	3.7	27.6	15047	51111	0.4747	36916	Romney	36916	0.000871185	36916.0
74	-88.319286	31.875769000000002	Gilbertown town	AL	Alabama	Choctaw County	169	41.5	10.2	8.6	21484	67000	0.4747	36908	Romney	36908	0.0005220930000000001	36908.0
75	-87.890067	31.532469	Jackson city	AL	Alabama	Clarke County	5175	39.4	20.1	20.4	19669	95000	0.457	36545	Romney	36545	0.015987173	36545.0
76	-87.740004	31.791681	Fulton town	AL	Alabama	Clarke County	284	37.2	6.6	11.4	16297	61250	0.457	36446	Romney	36446	0.0008773639999999999	36446.0
77	-87.77591	31.70327	Grove Hill town	AL	Alabama	Clarke County	1304	40.4	14.5	21.8	16398	74545	0.457	36451	Romney	36451	0.004028459	36451.0
78	-87.74188000000001	31.911203999999998	Thomasville city	AL	Alabama	Clarke County	4619	37.0	18.8	18.7	17343	87602	0.457	36784	Romney	36784	0.014269516999999999	36784.0
79	-88.08605899999999	31.766559	Coffeeville town	AL	Alabama	Clarke County	331	39.9	5.5	25.0	14968	60714	0.457	36524	Romney	36524	0.001022561	36524.0
80	-85.751131	33.312253999999996	Lineville city	AL	Alabama	Clay County	2352	40.4	11.0	19.0	16434	86905	0.2661	36266	Romney	36266	0.007266054	36266.0
81	-85.83340600000001	33.27022	Ashland city	AL	Alabama	Clay County	1957	43.0	10.4	16.8	16439	80500	0.2661	36251	Romney	36251	0.006045777	36251.0
82	-85.431178	33.72958	Fruithurst city	AL	Alabama	Cleburne County	272	38.1	4.9	8.0	16987	68333	0.1537	36262	Romney	36262	0.000840292	36262.0
83	-85.509185	33.706174	Edwardsville town	AL	Alabama	Cleburne County	209	39.3	7.1	9.0	17284	86000	0.1537	36262	Romney	36262	0.000645666	36262.0
84	-85.584005	33.646451	Heflin city	AL	Alabama	Cleburne County	3159	42.1	16.5	11.4	18479	100360	0.1537	36264	Romney	36264	0.009759127	36264.0
